MT-ND1	ND1	ortholog_one2one
MT-ND2	ND2	ortholog_one2one
MT-CO1	COX1	ortholog_one2one
MT-CO2	COX2	ortholog_one2one
MT-ATP8	ATP8	ortholog_one2one
MT-ATP6	ATP6	ortholog_one2one
MT-CO3	COX3	ortholog_one2one
MT-ND3	ND3	ortholog_one2one
MT-ND4L	ND4L	ortholog_one2one
MT-ND4	ND4	ortholog_one2one
MT-ND5	ND5	ortholog_one2one
MT-ND6	ND6	ortholog_one2one
MT-CYB	CYTB	ortholog_one2one
5S_rRNA	5S_rRNA	ortholog_many2many
RNA5-8SN5	5_8S_rRNA	ortholog_one2many
		ortholog_one2many
5_8S_rRNA	5_8S_rRNA	ortholog_one2many
MAFIP		ortholog_one2many
Y_RNA	Y_RNA	ortholog_many2many
	DGCR6L	ortholog_one2many
U1	U1	ortholog_one2many
U2	U2	ortholog_one2many
		ortholog_many2many
RNA5-8SN4	5_8S_rRNA	ortholog_one2many
	SNORA20	ortholog_many2many
RN7SL702P	Metazoa_SRP	ortholog_one2many
RNU6-109P	U6	ortholog_one2many
RNU6-184P	U6	ortholog_one2many
RNU1-41P	U1	ortholog_one2many
RNU6-255P	U6	ortholog_one2many
RNU1-128P	U1	ortholog_one2many
RNU1-95P	U1	ortholog_one2many
RNU1-48P	U1	ortholog_one2many
RNU6-941P	U6	ortholog_one2many
RNU6-1334P	U6	ortholog_one2one
SNORA70	SNORA70	ortholog_one2many
RNU1-40P	U1	ortholog_one2many
RNU6-1314P	U6	ortholog_one2many
RNU1-97P	U1	ortholog_one2many
RNU2-57P	U2	ortholog_one2many
RNU1-86P	U1	ortholog_one2many
RNU1-107P	U1	ortholog_one2many
NLGN4Y		ortholog_one2many
DAZ1	DAZL	ortholog_one2many
DAZ4	DAZL	ortholog_one2many
DDX3Y		ortholog_one2one
TBL1Y		ortholog_one2many
DAZ3	DAZL	ortholog_one2many
DAZ2	DAZL	ortholog_one2many
PCDH11Y		ortholog_one2many
TMSB4Y		ortholog_one2one
POU4F1	POU4F1	ortholog_one2one
SOX1	SOX1	ortholog_one2one
NALF1	NALF1	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_many2many
RNU5A-4P	U5	ortholog_one2many
SNORD116	SNORD116	ortholog_one2one
RNY3P9	Y_RNA	ortholog_many2many
RN7SKP6	7SK	ortholog_one2one
RNU7-88P	U7	ortholog_one2one
RNY3P5	Y_RNA	ortholog_one2one
RN7SL761P	Metazoa_SRP	ortholog_one2one
	SNORA68	ortholog_one2one
RNU4-10P	U4	ortholog_one2many
RNU6-66P	U6	ortholog_one2one
RNU6-54P	U6	ortholog_one2many
RNY3P7	Y_RNA	ortholog_one2one
RNU6-67P	U6	ortholog_one2one
	SNORD38	ortholog_one2many
	SNORA25	ortholog_one2one
RNY3P4	Y_RNA	ortholog_one2one
RNU6-58P	U6	ortholog_one2many
MIR15A	MIR15A	ortholog_one2one
RN7SL288P	Metazoa_SRP	ortholog_one2one
RNU2-6P	U2	ortholog_one2many
LRTM3	CCDC168	ortholog_one2one
RN7SKP9	7SK	ortholog_one2one
SNORA31B	SNORA31	ortholog_one2many
SNORA31	SNORA31	ortholog_one2one
RNY4P28	Y_RNA	ortholog_one2one
RNU6-71P	U6	ortholog_one2many
SLITRK1	SLITRK1	ortholog_one2one
KBTBD7	KBTBD7	ortholog_one2one
RNU2-7P	U2	ortholog_one2one
RNY1P3	Y_RNA	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
KCTD12	KCTD12	ortholog_one2one
SLC10A2	SLC10A2	ortholog_one2one
RNY4P24	Y_RNA	ortholog_one2one
HNRNPA1L2		ortholog_one2many
ZIC5	ZIC5	ortholog_one2one
GSX1	GSX1	ortholog_one2one
RNU6-73P	U6	ortholog_many2many
RNU6-59P	U6	ortholog_one2one
RNU1-16P	U1	ortholog_one2one
